State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Death/1 mil population,Total Tests,Tests/1 mil population,Population
Alabama,641386,11832,,,130810,2413.0,5116148,1043434.0,4903185
Alaska,77774,400,67670.0,9704.0,106315,547.0,2608537,3565792.0,731545
Arizona,970523,18467,891972.0,60084.0,133337,2537.0,5453128,749188.0,7278717
Arkansas,422866,6539,392430.0,23897.0,140124,2167.0,4318251,1430925.0,3017804
California,4163495,64745,2204176.0,1894574.0,105372,1639.0,77638353,1964920.0,39512223
Colorado,593562,7292,527611.0,58659.0,103072,1266.0,3361692,583755.0,5758736
Connecticut,364298,8307,342079.0,13912.0,102179,2330.0,10224837,2867886.0,3565287
Delaware,114912,1840,108619.0,4453.0,118008,1890.0,767739,788424.0,973764
Florida,3002763,41130,2318544.0,643089.0,139808,1915.0,34356667,1599641.0,21477737
Georgia,1279653,22060,1099114.0,158479.0,120524,2078.0,13103519,1234152.0,10617423
Hawaii,52199,552,,,36867,390.0,1979804,1398293.0,1415872
Idaho,210315,2258,118379.0,89678.0,117687,1264.0,1520912,851067.0,1787065
Illinois,1470452,26144,1372516.0,71792.0,116041,2063.0,27833923,2196521.0,12671821
Indiana,806094,14173,745989.0,45932.0,119737,2105.0,11669757,1733419.0,6732219
Iowa,419238,6210,369542.0,43486.0,132878,1968.0,5441421,1724659.0,3155070
Kansas,350384,5394,315796.0,29194.0,120270,1851.0,1557922,534759.0,2913314
Kentucky,522209,7459,,,116886,1670.0,7573190,1695108.0,4467673
Louisiana,631837,11706,,,135914,2518.0,8911155,1916875.0,4648794
Maine,72896,907,,,54230,675.0,2906028,2161882.0,1344212
Maryland,481569,9899,11164.0,460506.0,79655,1637.0,11637262,1924889.0,6045680
Massachusetts,739047,18154,,,107225,2634.0,25352627,3678290.0,6892503
Michigan,1032520,21304,875719.0,135497.0,103388,2133.0,15581631,1560214.0,9986857
Minnesota,629354,7830,612681.0,8843.0,111595,1388.0,11017165,1953526.0,5639632
Mississippi,392309,7880,336849.0,47580.0,131818,2648.0,3239113,1088357.0,2976149
Missouri,724496,10776,584385.0,129335.0,118046,1756.0,8764730,1428079.0,6137428
Montana,120946,1743,116189.0,3014.0,113163,1631.0,1560886,1460440.0,1068778
Nebraska,235075,2302,,,121523,1190.0,2143384,1108031.0,1934408
Nevada,374651,6223,326738.0,41690.0,121634,2020.0,3893810,1264160.0,3080156
New Hampshire,103733,1396,100493.0,1844.0,76290,1027.0,2593263,1907216.0,1359711
New Jersey,1064059,26715,995254.0,42090.0,119797,3008.0,14886407,1675984.0,8882190
New Mexico,221086,4455,198958.0,17673.0,105438,2125.0,3967386,1892088.0,2096829
New York,2279928,54492,2098983.0,126453.0,117198,2801.0,63297781,3253789.0,19453561
North Carolina,1125987,13895,1047722.0,64370.0,107359,1325.0,15102574,1439975.0,10488084
North Dakota,113673,1548,111024.0,1101.0,149165,2031.0,460427,604186.0,762062
Ohio,1164808,20648,1103387.0,40773.0,99649,1766.0,14494809,1240028.0,11689100
Oklahoma,516663,7594,489412.0,19657.0,130570,1919.0,4257877,1076045.0,3956971
Oregon,245758,2964,206357.0,36437.0,58268,703.0,6001599,1422943.0,4217737
Pennsylvania,1258488,28085,1191292.0,39111.0,98304,2194.0,15485276,1209599.0,12801989
Rhode Island,158614,2747,,,149726,2593.0,4733700,4468448.0,1059361
South Carolina,669638,10115,585615.0,73908.0,130059,1965.0,8967918,1741778.0,5148714
South Dakota,127320,2055,123626.0,1639.0,143920,2323.0,503964,569670.0,884659
Tennessee,958169,13018,895713.0,49438.0,140305,1906.0,8727909,1278033.0,6829174
Texas,3379781,54674,3065654.0,259453.0,116561,1886.0,35687692,1230785.0,28995881
Utah,447771,2537,426440.0,18794.0,139668,791.0,5496043,1714322.0,3205958
Vermont,26397,264,24496.0,1637.0,42304,423.0,1827923,2929415.0,623989
Virginia,725971,11625,,,85053,1362.0,11079260,1298018.0,8535519
Washington,518778,6319,239311.0,273148.0,68127,830.0,9163330,1203343.0,7614893
West Virginia,174818,2990,164811.0,7017.0,97547,1668.0,3235878,1805587.0,1792147
Wisconsin,709290,8336,,,121820,1432.0,9592296,1647472.0,5822434
Wyoming,69356,809,66324.0,2223.0,119836,1398.0,849192,1467264.0,578759
